Name,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,solubility_mg_L
2-(4-chloro-2-methylphenoxy)propanoic acid,214.648,2.5003199999999994,53.91480000000002,14.0,2.0,1.0,4.0,3.0,76.0,1.0,0.0,0.0,1.0,46.53,87.26373888571173,2.817664884623791,734.0000000751787
zinc bis[O-(2-ethylhexyl) O-isobutyl dithiophosphate],660.2820000000003,9.3243,163.39599999999962,35.0,8.0,0.0,11.0,20.0,208.0,0.0,0.0,0.0,0.0,36.92,251.87007803628518,-5.688888673925933e-07,727.0000000653031
1-chloro-3-(trifluoromethyl)benzene,180.55599999999998,3.3588000000000005,36.454000000000015,11.0,0.0,0.0,4.0,0.0,60.0,1.0,0.0,0.0,1.0,0.0,66.59621766955395,3.059901692217984,69.99999999880185
"oxiran-2-ylmethyl 2,2-dimethyloctanoate",228.332,2.7809000000000013,63.16900000000005,16.0,3.0,0.0,3.0,7.0,94.0,0.0,1.0,1.0,1.0,38.83,98.50133780611715,2.3749595757377504,70.00000000401825
2-methylheptyl 3-sulfanylpropanoate,218.362,3.0659000000000023,62.73500000000005,14.0,3.0,1.0,3.0,8.0,84.0,0.0,0.0,0.0,0.0,26.3,92.81880616474798,3.0920764641770613,7.669999999133794
1-methyl-4-(propan-2-ylidene)cyclohex-1-ene,136.238,3.4530000000000016,45.98200000000003,10.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,1.0,1.0,0.0,63.63869283950129,2.668730432311545,7.0299999992737
aluminium(3+) ion sodium bis(oxosilanebis(olate)),202.138,-9.132,18.635,10.0,6.0,0.0,10.0,0.0,48.0,0.0,0.0,0.0,0.0,126.38,92.7462049304502,-2.9999999833333334e-08,67.99999999530284
zinc(2+) ion bis(2-methylprop-2-enoate),150.47199999999995,-0.6901000000000002,19.820999999999994,7.0,2.0,0.0,3.0,1.0,34.0,0.0,0.0,0.0,0.0,40.13,54.98355823363975,0.0,652.0000000111819
3-[2-(ethylamino)-1-hydroxyethyl]phenol,181.235,1.0351,51.61030000000003,13.0,3.0,3.0,3.0,4.0,72.0,1.0,0.0,0.0,1.0,52.49,78.02950126508347,2.5971508214906804,63.70000000118279
"Phosphorodithioic acid, mixed O,O-bis(sec-Bu and 1,3-dimethylbutyl) esters, zinc salts",604.1740000000002,8.045700000000009,144.97999999999985,31.0,8.0,0.0,11.0,14.0,184.0,0.0,0.0,0.0,0.0,36.92,226.4103095786987,-4.899999846710944e-07,616.9999999923352
"2,4-dichloro-1-(chloromethyl)benzene",195.476,3.7322000000000015,46.01900000000001,10.0,0.0,0.0,3.0,1.0,54.0,1.0,0.0,0.0,1.0,0.0,74.7061439145386,3.06998271499884,59.99999999334611
"(1S,5S)-6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane",136.238,2.9987000000000013,43.75200000000002,10.0,0.0,0.0,0.0,0.0,56.0,0.0,3.0,3.0,3.0,0.0,63.3224647181563,2.2310808128795734,6.949999999757407
"9-Octadecenoic acid (Z)-, reaction products with 2-[(2-aminoethyl)amino]ethanol",386.62100000000015,4.635500000000003,116.09770000000007,27.0,4.0,4.0,5.0,19.0,162.0,0.0,0.0,0.0,0.0,95.58,167.35900603655992,0.0,6.0000000002574145
dodecyl 2-hydroxypropanoate,258.402,3.831300000000003,74.48380000000007,18.0,3.0,1.0,3.0,12.0,108.0,0.0,0.0,0.0,0.0,46.53,111.91774171112877,3.053119778367266,6.0000000005359455
hydroxylamine,33.03,-0.6657000000000002,5.9739,2.0,2.0,2.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,46.25,12.462471862119653,1.0,5700.000000248358
2-phenoxyethyl prop-2-enoate,192.21400000000003,1.7946,53.09300000000003,14.0,3.0,0.0,3.0,5.0,74.0,1.0,0.0,0.0,1.0,35.53,82.95512321835328,2.1621432588559366,525.0000000338608
benzyl-tributylazanium; 4-hydroxynaphthalene-1-sulfonate,499.71700000000016,6.85320000000001,143.30739999999992,35.0,4.0,1.0,6.0,12.0,192.0,3.0,0.0,0.0,3.0,77.43,211.31291541701668,2.559999906270004e-07,1140.0000000842801
undec-10-enoic acid,184.27900000000002,3.3778000000000024,54.76880000000004,13.0,1.0,1.0,2.0,9.0,76.0,0.0,0.0,0.0,0.0,37.3,80.65482499185117,2.9092867326592624,51.60000000442419
"carboxymethyldimethyl-3-[[(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)sulphonyl]amino]propylammonium hydroxide",570.3679999999998,2.2511,88.66290000000002,35.0,4.0,1.0,20.0,14.0,210.0,0.0,0.0,0.0,0.0,86.30000000000004,189.23659995248462,5.464762893378683,49.99999999741208
2-benzyl-2-(dimethylamino)-1-[4-(morpholin-4-yl)phenyl]butan-1-one,366.50500000000017,3.6590000000000025,110.65950000000008,27.0,4.0,0.0,4.0,7.0,144.0,2.0,1.0,1.0,3.0,32.78,162.29176410035186,1.8475406911024352,5.899999999798943
"4-(4,6-dimethylheptan-2-yl)phenol; 4-(5,6-dimethylheptan-2-yl)phenol; 4-(5,6-dimethylheptyl)phenol; 4-(7-methyloctyl)phenol",220.356,4.541200000000004,69.73380000000004,16.0,1.0,1.0,1.0,7.0,90.0,1.0,0.0,0.0,1.0,20.23,99.5101159012625,2.0485825635453776,5.69999999992104
"1,3-bis(prop-1-en-2-yl)benzene",158.24399999999994,3.7528000000000015,55.85800000000002,12.0,0.0,0.0,0.0,2.0,62.0,1.0,0.0,0.0,1.0,0.0,74.24184974150809,3.121805775248301,5.600000000380845
molybdenum,95.94,-0.0025,0.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,21.756565851685,0.0,6.000000000638756
"ethenyl 2,2-dimethyloctanoate",198.30599999999998,3.6697000000000015,58.829000000000036,14.0,2.0,0.0,2.0,6.0,82.0,0.0,0.0,0.0,0.0,26.3,87.33907858355866,3.2972151107499355,5.200000000007947
1-tert-butyl-4-methylbenzene,148.249,3.292520000000001,49.87900000000002,11.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,0.0,1.0,0.0,69.25611369147998,2.993754788259927,5.00000000019182
cyclohexanecarboxylic acid,128.17100000000002,1.6513,34.21079999999999,9.0,1.0,1.0,2.0,1.0,52.0,0.0,1.0,1.0,1.0,37.3,54.87882841291975,2.312191533568197,4600.0000004930325
"pentasodium 5-{[4-chloro-6-({3-[2-(sulfonatooxy)ethanesulfonyl]phenyl}amino)-1,3,5-triazin-2-yl]amino}-3-[(E)-2-(1,5-disulfonatonaphthalen-2-yl)diazen-1-yl]-4-hydroxynaphthalene-2,7-disulfonate",1136.3280000000002,-14.301299999999996,212.88839999999985,69.0,26.0,3.0,38.0,15.0,340.0,5.0,0.0,1.0,6.0,433.56,507.5754717478888,4.760995252287465e-06,441170.0000477517
"N,N'-bis(3-phenylprop-2-en-1-ylidene)hexane-1,6-diamine",344.5019999999999,6.115200000000006,116.13800000000003,26.0,2.0,0.0,2.0,11.0,134.0,2.0,0.0,0.0,2.0,24.72,157.27924160567198,1.4423245647333978,43.99999999527588
"2-(benzotriazol-2-yl)-6-[[3-(benzotriazol-2-yl)-2-hydroxy-5-(2,4,4-trimethylpentan-2-yl)phenyl]methyl]-4-(2,4,4-trimethylpentan-2-yl)phenol",658.8910000000002,9.583999999999996,198.0615999999994,49.0,8.0,2.0,8.0,8.0,256.0,6.0,0.0,0.0,6.0,101.88,289.349168262918,1.5526911798946943,0.007000000000136663
[2-({4-[(E)-2-(2-chloro-4-nitrophenyl)diazen-1-yl]phenyl}(ethyl)amino)ethyl]trimethylazanium chloride,426.3480000000001,2.200100000000001,109.51080000000007,28.0,5.0,0.0,9.0,8.0,152.0,2.0,0.0,0.0,2.0,71.1,176.32884399975933,3.9199948853402876e-06,390.00000001851953
"2-(morpholin-4-ylsulfanyl)-1,3-benzothiazole",252.364,2.635600000000001,67.86900000000003,16.0,5.0,0.0,5.0,2.0,84.0,2.0,1.0,1.0,3.0,25.36,102.55888264235138,1.7778971173782272,38.999999998401385
"(1R-(1alpha,2beta,4beta,6alpha))-2,2,7-Trimethyl-3-oxatricyclo(4.1.1.02,4)octane",152.237,2.2099,43.27300000000001,11.0,1.0,0.0,1.0,0.0,62.0,0.0,4.0,4.0,4.0,12.53,68.11978182631822,1.9803152559514368,388.00000001035403
"tetrasodium 7-[(E)-2-[2-(carbamoylamino)-4-{[4-chloro-6-({3-[2-(sulfonatooxy)ethanesulfonyl]phenyl}amino)-1,3,5-triazin-2-yl]amino}phenyl]diazen-1-yl]naphthalene-1,3,6-trisulfonate",1026.263,-9.94980000000002,197.20809999999986,63.0,23.0,4.0,35.0,15.0,314.0,5.0,0.0,0.0,5.0,414.74,451.0552539930664,4.961244189438353e-06,384700.00000170927
"disodium 7-{[4-chloro-6-(dodecylamino)-1,3,5-triazin-2-yl]amino}-4-hydroxy-3-(2-{4-[2-(4-sulfonatophenyl)diazen-1-yl]phenyl}diazen-1-yl)naphthalene-2-sulfonate",868.35,4.1072000000000015,211.22859999999957,58.0,16.0,3.0,21.0,20.0,296.0,5.0,0.0,0.0,5.0,246.79999999999995,386.4974508858,4.499988308032798e-06,380.000000004965
S-ethyl dipropylthiocarbamate,189.324,2.9815000000000014,55.683000000000035,12.0,2.0,0.0,3.0,5.0,72.0,0.0,0.0,0.0,0.0,20.31,79.70325373861478,3.8107947551711403,374.9999999594393
2-[({4-[(oxiran-2-ylmethoxy)methyl]cyclohexyl}methoxy)methyl]oxirane,256.342,1.6236,66.56600000000007,18.0,4.0,0.0,4.0,8.0,104.0,0.0,3.0,3.0,3.0,43.52,108.92018597242529,1.2067216869131905,3741.3000004011324
"1-hydroxy-4-methyl-6-(2,4,4-trimethylpentyl)pyridin-2(1H)-one - 2-aminoethanol (1:1)",298.427,1.94622,85.70370000000005,21.0,5.0,3.0,5.0,4.0,122.0,1.0,0.0,0.0,1.0,88.48,126.9251357998572,8.852940067272717e-07,37.099999999176944
pentacalcium hydroxide triphosphate,502.3070000000001,-10.5546,53.52530000000001,21.0,13.0,0.0,21.0,0.0,104.0,0.0,0.0,0.0,0.0,288.75,268.242500418216,-1.2857142818470984e-08,36.22999999708764
"6H-dibenzo[c,e][1,2]oxaphosphinine 6-oxide",215.168,4.328400000000002,61.32650000000002,15.0,2.0,0.0,3.0,0.0,72.0,3.0,0.0,0.0,3.0,30.21,86.9779698682122,2.702246345245809,3574.000000145775
ethenyl benzoate,148.16099999999997,1.9869,42.054500000000026,11.0,2.0,0.0,2.0,2.0,56.0,1.0,0.0,0.0,1.0,26.3,65.11169376005317,2.7666051691783182,352.99999999463296
methyl 4-tert-butylbenzoate,192.25799999999998,2.770700000000001,56.48150000000004,14.0,2.0,0.0,2.0,1.0,76.0,1.0,0.0,0.0,1.0,26.3,84.89612313542725,2.9499840415194707,35.000000001552216
"2,2-dimethyl-3-(3-methylphenyl)propan-1-ol",178.275,2.556020000000001,55.749800000000036,13.0,1.0,1.0,1.0,3.0,72.0,1.0,0.0,0.0,1.0,20.23,80.41528955807264,2.743151502071168,265.8000000080584
"(2E)-3,7-dimethylocta-2,6-dien-1-yl acetate",196.29,3.2422000000000017,59.055000000000035,14.0,2.0,0.0,2.0,5.0,80.0,0.0,0.0,0.0,0.0,26.3,86.64947555137438,3.670448527133007,34.51000000210878
"2-{6,6-dimethylbicyclo[3.1.1]hept-2-en-2-yl}ethan-1-ol",166.264,2.3612,49.780800000000035,12.0,1.0,1.0,1.0,2.0,68.0,0.0,1.0,3.0,3.0,20.23,74.48164058474893,2.127343829524432,334.8100000123535
"3,3,5-trimethylcyclohexanone",140.22599999999997,2.401700000000001,41.80300000000001,10.0,1.0,0.0,1.0,0.0,58.0,0.0,1.0,1.0,1.0,17.07,62.81447888951696,2.5946561616242816,3159.9999998401095
2-(2-phenylphenoxy)ethyl prop-2-enoate,268.312,3.4616000000000016,78.52900000000005,20.0,3.0,0.0,3.0,6.0,102.0,2.0,0.0,0.0,2.0,35.53,118.0122174244173,2.018277160400676,29.999999999715875
"3-[(3-sulfanylpropanoyl)oxy]-2,2-bis({[(3-sulfanylpropanoyl)oxy]methyl})propyl 3-sulfanylpropanoate",488.67100000000033,1.4251999999999998,120.14900000000004,29.0,12.0,4.0,12.0,16.0,168.0,0.0,0.0,0.0,0.0,105.20000000000002,192.29886082998482,5.354117665280891,3.6799999997775856
"4-[2-(4-hydroxy-3,5-dimethylphenyl)propan-2-yl]-2,6-dimethylphenol",284.399,4.657380000000004,87.28960000000004,21.0,2.0,2.0,2.0,2.0,112.0,2.0,0.0,0.0,2.0,40.46,126.63155963072927,2.6149070293812438,3.16999999986973
"1,3-bis(octadecanoyloxy)propan-2-yl octadecanoate",891.500999999999,18.769099999999984,270.43599999999896,63.0,6.0,0.0,6.0,53.0,374.0,0.0,0.0,0.0,0.0,78.9,393.0012114226912,4.296169818216157,3.000000000288229
"ethyl 3,5,5-trimethylhexanoate",186.295,3.0119000000000016,54.48600000000005,13.0,2.0,0.0,2.0,4.0,78.0,0.0,0.0,0.0,0.0,26.3,81.66373950134627,3.740275419955663,28.000000000929226
calcium oxosilanebis(olate),116.161,-3.2584,12.1945,5.0,3.0,0.0,5.0,0.0,24.0,0.0,0.0,0.0,0.0,63.19,60.52965303305179,0.0,260.00000001804585
5-Ethyl-2-methylpyridine,121.18299999999998,1.95242,38.35200000000001,9.0,1.0,0.0,1.0,1.0,48.0,1.0,0.0,0.0,1.0,12.89,55.7458774436333,2.8815558776461363,12000.000000481128
"(1R,2S,5R)-5-methyl-2-(propan-2-yl)cyclohexyl (2S)-2-hydroxypropanoate",228.332,2.3712000000000004,62.90380000000005,16.0,3.0,1.0,3.0,3.0,94.0,0.0,1.0,1.0,1.0,46.53,98.18202632880629,2.6073457888093308,239.10000001288952
Prednisolone,360.45000000000016,1.5576,95.04840000000004,26.0,5.0,3.0,5.0,2.0,142.0,0.0,3.0,4.0,4.0,94.83,153.34130809395182,1.7472814479871792,239.00000000629788
"disodium 5-methyl-2-({4-[(4-methyl-2-sulfonatophenyl)amino]-9,10-dioxo-9,10-dihydroanthracen-1-yl}amino)benzene-1-sulfonate",622.5880000000002,-1.6177599999999943,144.59879999999987,42.0,10.0,2.0,14.0,6.0,204.0,4.0,0.0,1.0,5.0,172.59999999999997,286.563462874555,2.419997657277347e-06,23290.000001823428
dialuminium(3+) ion dimolybdenum nonaoxidandiide,389.835,-1.8358,17.686499999999995,13.0,0.0,0.0,13.0,0.0,84.0,0.0,0.0,0.0,0.0,256.5,125.21846078316908,-0.0,22.9999999977098
2-phenoxyethyl 2-methylprop-2-enoate,206.241,2.1847000000000003,57.710000000000036,15.0,3.0,0.0,3.0,5.0,80.0,1.0,0.0,0.0,1.0,35.53,89.32006533274988,2.1772498661581383,229.99999997825645
"5-{[2-(2-butoxyethoxy)ethoxy]methyl}-6-propyl-2H-1,3-benzodioxole",338.44400000000013,3.7177000000000016,92.76200000000007,24.0,5.0,0.0,5.0,13.0,136.0,1.0,0.0,1.0,2.0,46.15000000000001,144.73754560065802,1.6321742102088133,23.89999999987341
fluoromethane,34.033,0.5857,7.032,2.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,12.904786430755784,1.0,22700.000001801734
(2-phenoxyethoxy)benzene,214.264,3.144400000000002,63.87400000000004,16.0,2.0,0.0,2.0,5.0,82.0,2.0,0.0,0.0,2.0,18.46,95.44547201336799,1.6982174709605096,21.999999999078234
"4-[(4-amino-2-chloro-3,5-diethylphenyl)methyl]-3-chloro-2,6-diethylaniline",379.37500000000017,5.998200000000005,112.04680000000003,25.0,2.0,2.0,4.0,6.0,136.0,2.0,0.0,0.0,2.0,52.04,161.05929020291927,2.6052663230454103,0.01999999999794388
"sodium 1-amino-9,10-dioxo-4-({2,4,6-trimethyl-3-[(phenylformamido)methyl]phenyl}amino)-9,10-dihydroanthracene-2-sulfonate",591.6210000000002,1.5511600000000008,153.67249999999981,42.0,8.0,3.0,11.0,6.0,208.0,4.0,0.0,1.0,5.0,158.48999999999995,265.1176663820488,4.049991229594891e-06,21499.999998434047
2-propylpentanoic acid,144.214,2.2874,40.9418,10.0,1.0,1.0,2.0,5.0,60.0,0.0,0.0,0.0,0.0,37.3,62.249601680845565,3.609578052682948,1999.9999999334395
zinc di(benzothiazol-2-yl) disulphide,397.89000000000016,4.401700000000002,90.502,21.0,6.0,0.0,7.0,0.0,100.0,4.0,0.0,0.0,4.0,25.78,153.77114141464492,1.4666666475555556e-07,20.59999999886377
2-(2-{[2-(oxiran-2-ylmethoxy)phenyl]methyl}phenoxymethyl)oxirane; 2-(2-{[4-(oxiran-2-ylmethoxy)phenyl]methyl}phenoxymethyl)oxirane; 2-(4-{[4-(oxiran-2-ylmethoxy)phenyl]methyl}phenoxymethyl)oxirane,216.664,1.8313,55.68780000000003,14.0,3.0,1.0,4.0,1.0,78.0,1.0,1.0,1.0,2.0,49.83,88.26957003924095,2.1305555351195128e-07,19.999999998317467
"3-[(2E)-oct-2-en-1-yl]oxolane-2,5-dione; 3-[(2Z)-oct-2-en-1-yl]oxolane-2,5-dione",210.273,2.6027000000000005,57.10500000000002,15.0,3.0,0.0,3.0,6.0,84.0,0.0,1.0,1.0,1.0,43.37000000000001,90.49476953007314,2.148614906273428,20.000000001626233
2-(chloromethyl)oxirane; 4-[2-(4-hydroxyphenyl)propan-2-yl]phenol; 2-methylprop-2-enoic acid,406.9060000000002,4.694800000000003,111.25140000000003,28.0,4.0,3.0,6.0,4.0,152.0,2.0,1.0,1.0,3.0,90.29,170.41518140389243,2.913438637140907e-07,2.400000000240784
"(1S,5S)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",136.238,2.9987000000000013,43.75200000000002,10.0,0.0,0.0,0.0,0.0,56.0,0.0,1.0,3.0,3.0,0.0,63.3224647181563,2.2966265797203387,2.29999999977419
trimethyl[(trimethylsilyl)oxy]silane,162.38099999999997,2.6728000000000005,47.77700000000003,9.0,1.0,0.0,3.0,2.0,56.0,0.0,0.0,0.0,0.0,9.23,60.68613837789019,3.746417931251032,1.9999999997866136
"2,3,3,3-tetrafluoroprop-1-ene",114.041,2.0319000000000003,16.303,7.0,0.0,0.0,4.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,37.44167383614344,3.7911184170869663,198.20000001640844
2H-chromen-2-one,146.14499999999995,1.793,42.484000000000016,11.0,2.0,0.0,2.0,0.0,54.0,2.0,0.0,0.0,2.0,30.21,63.07940657528497,2.9353507979720246,1899.9999997929306
1-methyl-4-(prop-1-en-2-yl)cyclohex-1-ene,136.238,3.3089000000000017,45.91200000000003,10.0,0.0,0.0,0.0,1.0,56.0,0.0,0.0,1.0,1.0,0.0,63.63869283950129,2.495412226862891,19.400000001998052
"hydrogen [4-[[4-(diethylamino)-o-tolyl][4-[ethyl(3-sulphonatobenzyl)amino]phenyl]methylene]cyclohexa-2,5-dien-1-ylidene](ethyl)(3-sulphonatobenzyl)ammonium, sodium salt",775.9689999999998,4.725610000000006,210.4313999999994,54.0,9.0,0.0,12.0,16.0,278.0,5.0,0.0,0.0,5.0,124.12,342.9892579699156,6.497975199208905e-06,184869.99999893366
tungsten(4+) ion disulfanediide,247.97400000000002,1.2939,15.182,3.0,2.0,0.0,3.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,34.6522312788732,3.2659863237109046,17.99999999846406
disodium 5-[(E)-2-(5-hydroxy-3-methyl-1-phenyl-1H-pyrazol-4-yl)diazen-1-yl]-2-{4-[(E)-2-(5-hydroxy-3-methyl-1-phenyl-1H-pyrazol-4-yl)diazen-1-yl]-2-sulfonatophenyl}benzene-1-sulfonate,758.7060000000004,-1.0801999999999898,178.48639999999966,52.0,14.0,0.0,20.0,9.0,254.0,4.0,0.0,2.0,6.0,229.18,342.06181585297116,3.024994707084739e-06,17269.999999940508
"(1R,2R,4R)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl acetate (1S,2S,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl acetate",196.29,2.7643000000000013,54.78300000000005,14.0,2.0,0.0,2.0,1.0,80.0,0.0,2.0,2.0,2.0,26.3,86.01701930868444,2.225540267260561,159.99999998603732
dioxido-oxosilane; lead(+2) cation,283.283,-3.2584,12.1945,5.0,3.0,0.0,5.0,0.0,26.0,0.0,0.0,0.0,0.0,63.19,50.69643661138922,0.0,0.06799999999958868
2-methyl-1-phenylpropan-2-yl butanoate,220.312,3.3510000000000018,65.22500000000005,16.0,2.0,0.0,2.0,5.0,88.0,1.0,0.0,0.0,1.0,26.3,97.6260073642205,2.5449203918758574,16.110000000678447
"disodium 4,4'-[(2,4-dihydroxy-1,3-phenylene)didiazene-2,1-diyl]dinaphthalene-1-sulfonate",622.5480000000001,-4.739199999999995,143.54779999999985,42.0,12.0,2.0,16.0,6.0,202.0,5.0,0.0,0.0,5.0,197.32,282.1466774400944,2.4199974202278325e-06,1549.999999906255
1-[(1-propoxypropan-2-yl)oxy]propan-2-ol,176.25599999999997,1.1989,48.20480000000003,12.0,3.0,1.0,3.0,7.0,74.0,0.0,0.0,0.0,0.0,38.69,74.68011215421217,3.1531775862478155,150000.00001696224
"5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane",222.28799999999995,2.2430000000000003,60.637000000000036,16.0,4.0,0.0,4.0,3.0,88.0,0.0,1.0,1.0,1.0,58.86,95.86147230447081,2.854455780958164,15.000000000476598
"octadec-9-enoic acid - N-(2-aminoethyl)ethane-1,2-diamine (1:1)",385.63700000000017,4.601900000000001,118.06630000000007,27.0,4.0,4.0,5.0,19.0,162.0,0.0,0.0,0.0,0.0,101.37,167.9046629813766,0.0,15.000000000815325
1-[2-[[4-[(2-chloro-4-nitrophenyl)azo]phenyl]ethylamino]ethyl]pyridinium acetate,469.92900000000014,4.233800000000003,123.92940000000007,33.0,7.0,0.0,10.0,8.0,172.0,3.0,0.0,0.0,3.0,115.11,196.28930415538943,8.900571395975502e-07,14130.000001418779
diphenyl carbonate,214.22,3.264400000000002,59.53600000000003,16.0,3.0,0.0,3.0,2.0,80.0,2.0,0.0,0.0,2.0,35.53,93.24205199901516,1.9521941477943936,12.999999999036223
vinyl 2-ethylhexanoate,170.25199999999995,2.8895000000000017,49.59500000000003,12.0,2.0,0.0,2.0,6.0,70.0,0.0,0.0,0.0,0.0,26.3,74.6091943547654,3.7801924243186464,11.999999998656175
2-methyl-N-[(2-methylprop-2-enamido)methyl]prop-2-enamide,182.22299999999998,0.3285000000000001,50.78040000000002,13.0,2.0,2.0,4.0,4.0,72.0,0.0,0.0,0.0,0.0,58.2,77.70235044593753,3.6893729618756304,11786.00000111934
"(1Z,5Z)-cycloocta-1,5-diene",108.184,2.6728000000000014,36.74800000000001,8.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,1.0,1.0,0.0,50.908808610708064,2.285714285714285,116.9999999946463
(3-isocyanatopropyl)trimethoxysilane,205.286,0.5903999999999998,49.19350000000003,13.0,5.0,0.0,6.0,7.0,76.0,0.0,0.0,0.0,0.0,57.12000000000001,79.0773568207356,3.8734286416774055,113.59999999753893
(3-chloropropyl)triethoxysilane,240.803,2.6637000000000013,60.776000000000046,14.0,3.0,0.0,5.0,9.0,86.0,0.0,0.0,0.0,0.0,27.69,93.0536626905066,4.210670443406352,113.00000000369512
